# California county outlines for the Caltrans district lookup.
# Read: U.S. Census Bureau 2023 cartographic boundary file, counties,
# 1:20,000,000 (cb_2023_us_county_20m.zip), public domain. Coordinates
# rounded to 4 decimals. Regenerate: uv run python tools/build_ca_county_outlines.py
# One ring per line: county name, a tab, then lon,lat pairs separated by spaces.
Los Angeles	-118.9410,34.0748 -118.8565,34.1268 -118.7889,34.1682 -118.6938,34.1686 -118.6680,34.1992 -118.6678,34.2223 -118.6325,34.2404 -118.6335,34.2695 -118.6368,34.2918 -118.8804,34.7887 -118.8946,34.8180 -117.9167,34.8225 -117.6675,34.8225 -117.6552,34.3972 -117.6552,34.3970 -117.6464,34.2892 -117.6936,34.1216 -117.7112,34.0795 -117.7294,34.0255 -117.7460,34.0201 -117.7677,34.0235 -117.8024,33.9683 -117.7833,33.9463 -117.8684,33.9459 -117.9200,33.9461 -117.9765,33.9460 -117.9766,33.9064 -118.0288,33.8733 -118.0590,33.8462 -118.0930,33.7861 -118.1151,33.7438 -118.1327,33.7532 -118.1837,33.7361 -118.2319,33.7153 -118.2587,33.7037 -118.3172,33.7128 -118.3333,33.7212 -118.3547,33.7323 -118.3966,33.7359 -118.4284,33.7747 -118.3943,33.8043 -118.4127,33.8839 -118.4606,33.9691 -118.5173,34.0253 -118.5195,34.0275 -118.6036,34.0390 -118.6794,34.0333 -118.7450,34.0321 -118.8051,34.0012 -118.8547,34.0342 -118.9445,34.0467 -118.9410,34.0748
Madera	-120.4767,37.0964 -120.2412,37.1582 -120.1151,37.1657 -120.0521,37.1831 -119.7618,37.4171 -119.6512,37.4178 -119.6512,37.4614 -119.5842,37.4947 -119.5836,37.5603 -119.3090,37.7780 -119.2690,37.7392 -119.1243,37.7339 -119.0224,37.5857 -119.2867,37.3749 -119.3352,37.3108 -119.3306,37.2058 -119.3865,37.1495 -119.4331,37.1615 -119.4708,37.1105 -119.5067,37.1506 -119.5632,37.1400 -119.5494,37.0940 -119.7405,36.9702 -119.7339,36.9486 -119.8181,36.8482 -119.9060,36.8501 -119.9435,36.8340 -119.9847,36.8408 -120.0278,36.8145 -120.0795,36.8253 -120.2292,36.7697 -120.3703,36.7849 -120.3696,36.8104 -120.4562,36.8629 -120.4503,36.9112 -120.5417,37.0445 -120.4767,37.0964
Marin	-123.0115,38.0034 -122.9609,38.1130 -122.9536,38.1757 -122.9871,38.2375 -122.9863,38.2732 -123.0031,38.2957 -122.9113,38.3212 -122.7399,38.2070 -122.5454,38.1587 -122.4885,38.1091 -122.4913,38.1081 -122.4995,38.0322 -122.4530,37.9962 -122.4887,37.9667 -122.4864,37.9219 -122.4484,37.8934 -122.4185,37.8527 -122.4835,37.8267 -122.5373,37.8303 -122.6013,37.8751 -122.6785,37.9066 -122.7026,37.8938 -122.7546,37.9355 -122.7974,37.9767 -122.8566,38.0167 -122.9397,38.0319 -122.9744,37.9924 -123.0115,38.0034
Mariposa	-120.3919,37.6836 -120.3063,37.6654 -120.3454,37.7248 -120.1272,37.7816 -120.0795,37.8288 -119.9070,37.7579 -119.8094,37.7550 -119.6672,37.8012 -119.6462,37.8468 -119.5357,37.9041 -119.4743,37.8556 -119.4268,37.8667 -119.3090,37.7780 -119.5836,37.5603 -119.5842,37.4947 -119.6512,37.4614 -119.6512,37.4178 -119.7618,37.4171 -120.0521,37.1831 -120.1776,37.2615 -120.3877,37.6334 -120.3876,37.6337 -120.3919,37.6836
Mendocino	-124.0252,40.0013 -123.5445,40.0019 -123.5446,39.9770 -122.9340,39.9781 -122.9098,39.9364 -122.9501,39.9077 -122.9377,39.7982 -122.8927,39.7089 -122.8854,39.5801 -122.8903,39.5290 -123.0632,39.5035 -123.0751,39.4077 -123.0197,39.3218 -122.9948,39.2359 -123.0778,39.1738 -123.0930,39.0720 -123.0280,38.9966 -122.9866,38.9973 -122.9489,38.9002 -122.8216,38.8501 -123.0810,38.8524 -123.1363,38.8091 -123.3684,38.8066 -123.5409,38.7677 -123.5720,38.7982 -123.6386,38.8439 -123.6598,38.8725 -123.7105,38.9132 -123.7329,38.9550 -123.6907,39.0213 -123.7215,39.1253 -123.7659,39.1937 -123.7990,39.2714 -123.8253,39.3608 -123.8147,39.4465 -123.7665,39.5528 -123.7823,39.6215 -123.7927,39.6841 -123.8295,39.7231 -123.8517,39.8320 -123.9077,39.8630 -123.9550,39.9224 -124.0252,40.0013
Merced	-121.2268,37.1348 -120.9638,37.3461 -120.9898,37.3959 -120.8156,37.4670 -120.3877,37.6334 -120.1776,37.2615 -120.0521,37.1831 -120.1151,37.1657 -120.2412,37.1582 -120.4767,37.0964 -120.5417,37.0445 -120.5906,36.9526 -120.6560,36.9528 -120.9187,36.7404 -121.1415,36.8367 -121.2347,36.9269 -121.2154,36.9612 -121.2459,36.9830 -121.2268,37.1348
Modoc	-121.4572,41.9499 -121.4475,41.9972 -121.4396,41.9971 -121.2511,41.9976 -121.0352,41.9933 -120.8799,41.9935 -120.6922,41.9937 -120.5011,41.9938 -120.1816,41.9946 -119.9992,41.9945 -119.9993,41.8749 -119.9983,41.6188 -119.9999,41.1840 -120.5014,41.1839 -121.3318,41.1839 -121.4465,41.1835 -121.4490,41.7764 -121.4572,41.9499
Mono	-119.6392,38.3269 -119.5424,38.4817 -119.6191,38.6035 -119.5854,38.7132 -119.3304,38.5355 -119.2793,38.4999 -119.1558,38.4134 -118.9497,38.2689 -118.5010,37.9490 -118.4280,37.8962 -118.0222,37.6026 -117.8335,37.4649 -118.7750,37.4631 -118.8505,37.4758 -118.9171,37.5503 -119.0224,37.5857 -119.1243,37.7339 -119.2690,37.7392 -119.2013,37.8043 -119.2003,37.8858 -119.3084,37.9468 -119.3046,38.0239 -119.3459,38.0831 -119.4637,38.0983 -119.4695,38.1283 -119.5765,38.1577 -119.6327,38.1989 -119.6042,38.2350 -119.6515,38.2865 -119.6392,38.3269
Monterey	-121.9704,36.5828 -121.9239,36.6346 -121.8606,36.6111 -121.8145,36.6829 -121.7968,36.7775 -121.7915,36.8152 -121.8127,36.8500 -121.7938,36.8795 -121.7575,36.9000 -121.7541,36.9028 -121.6558,36.9131 -121.6440,36.8940 -121.5977,36.8374 -121.4513,36.7248 -121.4681,36.6855 -121.3501,36.6484 -121.3184,36.6100 -121.3118,36.5027 -121.2441,36.5069 -121.1935,36.4458 -121.0408,36.3240 -121.0272,36.2599 -120.9206,36.3110 -120.8651,36.2926 -120.7615,36.2036 -120.7182,36.1968 -120.7177,36.2600 -120.7583,36.3086 -120.6786,36.2673 -120.6269,36.2032 -120.6676,36.1381 -120.4331,35.9689 -120.3151,35.9072 -120.2758,35.9059 -120.2140,35.7893 -121.1851,35.7942 -121.3471,35.7952 -121.4068,35.8446 -121.4623,35.8856 -121.4862,35.9703 -121.5319,36.0144 -121.5746,36.0252 -121.6220,36.0997 -121.6801,36.1658 -121.7799,36.2274 -121.8264,36.2419 -121.8885,36.3028 -121.9032,36.3936 -121.9416,36.4856 -121.9704,36.5828
Napa	-122.6268,38.6708 -122.4641,38.7061 -122.3742,38.8118 -122.3953,38.8640 -122.2877,38.8400 -122.1344,38.6046 -122.1041,38.5134 -122.1264,38.4292 -122.0648,38.3159 -122.2061,38.3158 -122.1954,38.1550 -122.4068,38.1556 -122.3496,38.1940 -122.4481,38.3795 -122.5296,38.4696 -122.6466,38.5991 -122.6268,38.6708
